0,7331444736
1,7211419648
2,7440330240
3,7360570368
4,7783998464
5,7741341696
6,7479052800
7,7853996544
8,8171707904
9,7912940544
10,7432001536
11,7818881024
12,7517378560
13,7624229888
14,7979073536
15,7805233152
16,7589659136
17,7526130176
18,7412959744
19,7979073536
20,7593576448
21,7885086720
22,7830125568
23,8172582912
24,8112415232
25,7831956480
26,8052246016
27,7731416576
28,7821552128
29,7869025792
30,8072532480
31,7911572992
32,7709773824
33,7932258816
34,8071591424
35,7894959104
36,7287353856
37,4515419648
38,8380975104
39,8217147904
40,8337610752
41,8547199488
42,8245352448
43,8240824832
44,8367870464
45,4543992320
46,8079249408
47,4463541760
48,8594589696
49,8141971968
50,8146808832
51,8747887104
52,8355344896
53,8286701568
54,7971690496
55,4343122944
56,8097988096
57,7876448256
58,7709344256
59,8819424256
60,8141816320
61,8099747840
62,8309378048
63,7891793920
64,7681729536
65,7678775296
66,8001927680
67,8132823040
68,7721374208
69,8267940352
70,7282003456
71,7991724032
72,8187363328
73,8354864128
74,7939295744
75,8355056640
76,7888995328
77,8227039744
78,8304885760
79,8020225024
80,7682432000
81,8007909888
82,8055411200
83,8230926848
84,8109952512
85,8231837184
86,8179254784
87,8259291136
88,7606224384
89,7389274112
90,8216232960
91,8135638016
92,7856606720
93,7830253568
94,7904201216
95,7816446976
96,7959088640
97,4323262464
98,7977650176
99,7970753536
100,7747174400
101,7332019200
102,7666239488
103,8104322048
104,8044080128
105,7992074240
106,8079249408
107,7323058176
108,7451604992
109,7372140032
110,7058637824
111,6885390336
112,7398123008
113,7476898816
114,8135030784
115,7683517440
116,8068485632
117,7451832832
118,8374984704
119,7824446464
120,7229277184
121,8567627264
122,7267962368
123,7549850112
124,7743680000
125,8137110016
126,7569155584
127,6627648000
128,7532037632
129,7273567744
130,7768270336
131,7833935360
132,7669371904
133,7520815104
134,7312860160
135,7589053440
136,7703899648
137,7607633920
138,7680632320
139,7143382528
