Traversal,Depth,Create Children,Get Inputs,Create Outputs,Set UCBs
0,0,0.11369466781616211,0.000997304916381836,0.013962507247924805,0.0
0,1,0.1107029914855957,0.000997304916381836,0.0069811344146728516,0.0
0,2,0.12666034698486328,0.000997304916381836,0.011967897415161133,0.0009970664978027344
0,3,0.031914472579956055,0.0,0.005983829498291016,0.0
0,4,0.09773802757263184,0.0009970664978027344,0.007978677749633789,0.0009975433349609375
0,5,0.12816262245178223,0.000997304916381836,0.007978200912475586,0.0
0,6,0.12865495681762695,0.000997304916381836,0.006981611251831055,0.0
0,7,0.13763070106506348,0.0009975433349609375,0.008975505828857422,0.0009975433349609375
0,8,0.02991962432861328,0.0,0.00498652458190918,0.0
0,9,0.01495981216430664,0.0,0.00498652458190918,0.0
1,0,0.0,0.0009975433349609375,0.005983829498291016,0.0
1,1,0.17054271697998047,0.0,0.00698089599609375,0.000997304916381836
1,2,0.12765765190124512,0.0,0.007978677749633789,0.0
1,3,0.12816190719604492,0.0009975433349609375,0.007978677749633789,0.0
1,4,0.13064956665039062,0.0009970664978027344,0.0069811344146728516,0.0
1,5,0.10970592498779297,0.0009970664978027344,0.0069811344146728516,0.000997304916381836
1,6,0.01495981216430664,0.0,0.005984067916870117,0.0
1,7,0.025930166244506836,0.0,0.004986763000488281,0.0
1,8,0.10372161865234375,0.0,0.007978677749633789,0.0
1,9,0.014960289001464844,0.0,0.004986286163330078,0.0
2,0,0.0,0.000997304916381836,0.005983829498291016,0.0
2,1,0.0,0.0,0.006981372833251953,0.0
2,2,0.015957355499267578,0.0,0.004986286163330078,0.0
2,3,0.03091740608215332,0.000997304916381836,0.003989219665527344,0.0
2,4,0.10571622848510742,0.0009975433349609375,0.0069811344146728516,0.0
2,5,0.13763070106506348,0.000997304916381836,0.006981372833251953,0.0
2,6,0.13763070106506348,0.0009970664978027344,0.006981372833251953,0.000997304916381836
2,7,0.015957355499267578,0.0,0.003989219665527344,0.0009970664978027344
2,8,0.015957355499267578,0.0,0.003989219665527344,0.0
2,9,0.013962507247924805,0.0,0.004986763000488281,0.0
3,0,0.0,0.000997304916381836,0.006981611251831055,0.0
3,1,0.11668658256530762,0.000997304916381836,0.006981611251831055,0.0
